,index,Symbol,Security,Sector,GICS Sub-Industry,Open,Low,Close,High,beta,forwardPE,averageVolume,marketCap,Trailing PE
0,0,MMM,3M Company,Industrials,Industrial Conglomerates,169.0399932861328,168.42999267578125,170.22000122070312,170.5800018310547,0.915966,17.842768,2618024,98186641408,19.962471
1,1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,112.6500015258789,112.0,112.88999938964844,113.52999877929688,0.825105,25.832952,4905603,200081719296,59.69857
2,2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,112.91000366210938,111.47000122070312,112.62000274658203,113.0999984741211,0.8193269999999999,9.238721,8320341,198827229184,24.632545
3,3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,339.1199951171875,337.8399963378906,347.8699951171875,353.489990234375,1.413865,68.61341,289059,15720210432,76.45494
4,4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,257.989990234375,257.0,261.6700134277344,262.3800048828125,1.081407,28.913813,1929785,173372604416,32.209507
5,5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,93.95999908447266,93.56999969482422,95.12000274658203,95.87000274658203,0.709558,26.946177,6597759,73514164224,33.387154
6,6,ADBE,Adobe Inc.,Information Technology,Application Software,462.7300109863281,458.7699890136719,469.7300109863281,472.3900146484375,0.971638,35.504913,2605772,224859750400,43.37304
7,7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,90.55000305175781,88.5999984741211,88.75,90.77999877929688,2.283613,49.305557,46248041,106861215744,120.257454
8,8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,166.0399932861328,164.2100067138672,165.17999267578125,166.47999572753906,1.272058,17.369083,964038,11208205312,24.047167
9,9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,27.989999771118164,27.8799991607666,28.020000457763672,28.68000030517578,0.855042,17.96154,5631022,18636972032,0.0
10,10,AFL,AFLAC Inc,Financials,Life & Health Insurance,46.970001220703125,46.709999084472656,47.060001373291016,47.209999084472656,0.966386,9.663245,3960961,33057062912,7.4028635
11,11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,127.70999908447266,127.36000061035156,128.11000061035156,128.9199981689453,1.0488439999999999,30.721823,1732622,39310553088,55.7
12,12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,287.3299865722656,286.2200012207031,286.55999755859375,288.7799987792969,0.794117,27.03396,1294206,63343800320,33.76856
13,13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,111.95999908447266,108.9000015258789,109.36000061035156,111.95999908447266,0.467962,20.029305,1692695,17803151360,32.060978
14,14,ALK,Alaska Air Group Inc,Industrials,Airlines,54.9900016784668,54.65999984741211,55.810001373291016,56.099998474121094,1.811974,-43.601566,2029356,6901687808,0.0
15,15,ALB,Albemarle Corp,Materials,Specialty Chemicals,187.50999450683594,179.3800048828125,180.19000244140625,188.35000610351562,1.596638,44.056232,1392730,19182487552,50.192204
16,16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,166.44000244140625,166.05999755859375,171.02999877929688,172.19000244140625,0.810399,63.579926,906830,23690391552,39.74669
17,17,ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,159.10000610351562,157.25999450683594,157.74000549316406,159.10000610351562,1.336134,12.180696,2491025,34501050368,36.6071
18,18,ALGN,Align Technology,Health Care,Health Care Supplies,568.8400268554688,560.0700073242188,564.3699951171875,575.9199829101562,1.676995,66.47468,673690,44500799488,25.681198
19,19,ALLE,Allegion,Industrials,Building Products,115.05000305175781,113.16999816894531,114.19000244140625,115.06999969482422,1.125,24.14165,713658,10509933568,35.254707
20,20,LNT,Alliant Energy Corp,Utilities,Electric Utilities,49.310001373291016,49.220001220703125,49.91999816894531,50.150001525878906,0.284663,19.424124,1188317,12468068352,18.585255
21,21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,110.11000061035156,109.77999877929688,111.0,111.70999908447266,0.807773,8.428246,1845833,33751547904,7.772021
